zone,month,zone_disruption_freq,flood_risk,fog_risk,heat_risk,aqi_base,month_risk,weather_severity,aqi_level,traffic_disruption,worker_tenure_weeks,worker_claim_ratio,risk_score,weekly_premium_inr
Connaught Place,1,0.28,0.3,0.55,0.7,0.72,0.7,0.3311,0.4023,0.0282,95,0.0275,0.4183,65.73
Noida Sector 18,5,0.3,0.45,0.58,0.7,0.74,0.75,0.4015,0.3263,0.1325,33,0.0125,0.4007,65.03
Connaught Place,3,0.28,0.3,0.55,0.7,0.72,0.2,0.3148,0.3554,0.0599,2,0.112,0.2892,60.57
Lajpat Nagar,2,0.32,0.45,0.5,0.68,0.75,0.65,0.6818,0.5614,0.0463,75,0.3622,0.6226,73.9
Noida Sector 18,3,0.3,0.45,0.58,0.7,0.74,0.2,0.3559,0.2316,0.0507,63,0.0632,0.2369,58.48
Lajpat Nagar,12,0.32,0.45,0.5,0.68,0.75,0.75,0.3585,0.7601,0.0444,7,0.2652,0.6925,76.7
Saket,10,0.25,0.35,0.5,0.65,0.7,0.65,0.5838,0.8851,0.1707,88,0.4385,0.7432,78.73
Noida Sector 18,1,0.3,0.45,0.58,0.7,0.74,0.7,0.4927,0.462,0.0682,64,0.1323,0.4821,68.29
Noida Sector 18,11,0.3,0.45,0.58,0.7,0.74,0.8,0.2004,0.6808,0.1738,5,0.3471,0.4939,68.76
Janakpuri,3,0.3,0.4,0.6,0.68,0.76,0.2,0.3993,0.3844,0.1572,70,0.358,0.366,63.64
Lajpat Nagar,5,0.32,0.45,0.5,0.68,0.75,0.75,0.3974,0.5736,0.2093,60,0.0584,0.5197,69.79
Mayur Vihar,4,0.35,0.55,0.58,0.7,0.8,0.25,0.4397,0.6152,0.0663,2,0.14,0.3953,64.81
Vasant Kunj,5,0.22,0.3,0.48,0.65,0.68,0.75,0.6587,0.3395,0.0141,57,0.3503,0.528,70.12
Karol Bagh,10,0.33,0.42,0.55,0.72,0.82,0.65,0.6499,0.7458,0.1442,53,0.0997,0.6259,74.04
Gurugram Sector 29,9,0.28,0.5,0.55,0.68,0.72,0.6,0.597,0.4535,0.0016,6,0.3367,0.5425,70.7
Saket,8,0.25,0.35,0.5,0.65,0.7,0.75,0.7212,0.2758,0.0193,39,0.2215,0.4619,67.48
Karol Bagh,8,0.33,0.42,0.55,0.72,0.82,0.75,0.2575,0.4207,0.1235,74,0.1132,0.4128,65.51
Janakpuri,9,0.3,0.4,0.6,0.68,0.76,0.6,0.5476,0.2924,0.0725,61,0.4474,0.4796,68.18
Lajpat Nagar,3,0.32,0.45,0.5,0.68,0.75,0.2,0.4175,0.2217,0.1566,44,0.0413,0.2723,59.89
Karol Bagh,5,0.33,0.42,0.55,0.72,0.82,0.75,0.2815,0.621,0.073,62,0.4052,0.5319,70.28
Dwarka,2,0.38,0.6,0.65,0.7,0.78,0.65,0.6393,0.5411,0.0825,47,0.4307,0.6505,75.02
Vasant Kunj,9,0.22,0.3,0.48,0.65,0.68,0.6,0.2367,0.0767,0.0498,9,0.3228,0.2537,59.15
Saket,6,0.25,0.35,0.5,0.65,0.7,0.8,0.3839,0.4598,0.1201,6,0.3244,0.4952,68.81
Karol Bagh,8,0.33,0.42,0.55,0.72,0.82,0.75,0.7039,0.6406,0.1267,66,0.2313,0.6621,75.49
Shahdara,7,0.4,0.65,0.6,0.72,0.85,0.7,0.6859,0.2887,0.2144,41,0.1012,0.532,70.28
Janakpuri,4,0.3,0.4,0.6,0.68,0.76,0.25,0.3157,0.515,0.1798,79,0.3467,0.3512,63.05
Dwarka,2,0.38,0.6,0.65,0.7,0.78,0.65,0.1802,0.7616,0.033,11,0.0932,0.515,69.6
Karol Bagh,12,0.33,0.42,0.55,0.72,0.82,0.75,0.7424,0.9572,0.0984,85,0.2142,0.8422,82.69
Connaught Place,4,0.28,0.3,0.55,0.7,0.72,0.25,0.5095,0.47,0.0558,75,0.0764,0.4523,67.09
Janakpuri,2,0.3,0.4,0.6,0.68,0.76,0.65,0.38,0.4236,0.0595,87,0.1996,0.4147,65.59
Saket,4,0.25,0.35,0.5,0.65,0.7,0.25,0.1302,0.4325,0.129,82,0.0904,0.237,58.48
Shahdara,11,0.4,0.65,0.6,0.72,0.85,0.8,0.533,0.4634,0.0953,6,0.3313,0.6502,75.01
Dwarka,4,0.38,0.6,0.65,0.7,0.78,0.25,0.4169,0.6932,0.0456,18,0.2227,0.4626,67.5
Noida Sector 18,12,0.3,0.45,0.58,0.7,0.74,0.75,0.5043,0.6343,0.0987,19,0.1964,0.6766,76.07
Saket,6,0.25,0.35,0.5,0.65,0.7,0.8,0.6925,0.5078,0.2259,12,0.0675,0.5074,69.29
Rohini,11,0.35,0.5,0.7,0.72,0.8,0.8,0.6042,0.5758,0.2424,76,0.1654,0.5665,71.66
Rohini,8,0.35,0.5,0.7,0.72,0.8,0.75,0.5553,0.6745,0.0032,101,0.0705,0.5805,72.22
Gurugram Sector 29,1,0.28,0.5,0.55,0.68,0.72,0.7,0.7974,0.5941,0.1772,86,0.328,0.5861,72.45
Dwarka,7,0.38,0.6,0.65,0.7,0.78,0.7,0.663,0.4941,0.3164,47,0.344,0.6697,75.79
Dwarka,6,0.38,0.6,0.65,0.7,0.78,0.8,0.3361,0.5508,0.0513,95,0.1139,0.4739,67.95
Noida Sector 18,3,0.3,0.45,0.58,0.7,0.74,0.2,0.3704,0.4663,0.1365,77,0.1543,0.3792,64.17
Dwarka,7,0.38,0.6,0.65,0.7,0.78,0.7,0.5029,0.4655,0.0297,74,0.0777,0.4749,68.0
Saket,2,0.25,0.35,0.5,0.65,0.7,0.65,0.2763,0.4857,0.0859,24,0.2132,0.4394,66.58
Rohini,9,0.35,0.5,0.7,0.72,0.8,0.6,0.3758,0.3633,0.0949,84,0.0435,0.4534,67.13
Saket,10,0.25,0.35,0.5,0.65,0.7,0.65,0.0806,0.6955,0.0812,17,0.3288,0.4203,65.81
Gurugram Sector 29,2,0.28,0.5,0.55,0.68,0.72,0.65,0.5843,0.4867,0.2477,60,0.1008,0.5322,70.29
Shahdara,6,0.4,0.65,0.6,0.72,0.85,0.8,0.6351,0.1138,0.0878,33,0.4204,0.5271,70.09
Vasant Kunj,8,0.22,0.3,0.48,0.65,0.68,0.75,0.3603,0.2522,0.0274,74,0.6321,0.3957,64.83
Mayur Vihar,1,0.35,0.55,0.58,0.7,0.8,0.7,0.4275,0.7497,0.1767,78,0.0832,0.5237,69.95
Connaught Place,5,0.28,0.3,0.55,0.7,0.72,0.75,0.3451,0.5346,0.093,61,0.2258,0.5013,69.05
Saket,4,0.25,0.35,0.5,0.65,0.7,0.25,0.2475,0.2939,0.0492,55,0.0439,0.2255,58.02
Dwarka,1,0.38,0.6,0.65,0.7,0.78,0.7,0.5028,0.6933,0.1674,1,0.152,0.6155,73.62
Noida Sector 18,10,0.3,0.45,0.58,0.7,0.74,0.65,0.1752,0.4795,0.0804,87,0.0271,0.369,63.76
Dwarka,6,0.38,0.6,0.65,0.7,0.78,0.8,0.6646,0.4208,0.155,71,0.1266,0.5875,72.5
Vasant Kunj,10,0.22,0.3,0.48,0.65,0.68,0.65,0.1416,0.6017,0.0166,2,0.088,0.393,64.72
Dwarka,8,0.38,0.6,0.65,0.7,0.78,0.75,0.5299,0.4459,0.2841,56,0.2759,0.5745,71.98
Shahdara,11,0.4,0.65,0.6,0.72,0.85,0.8,0.3404,0.9668,0.1416,58,0.0506,0.571,71.84
Lajpat Nagar,12,0.32,0.45,0.5,0.68,0.75,0.75,0.9246,0.4857,0.0489,3,0.128,0.6954,76.82
Karol Bagh,8,0.33,0.42,0.55,0.72,0.82,0.75,0.4716,0.6575,0.2445,45,0.0549,0.5238,69.95
Karol Bagh,5,0.33,0.42,0.55,0.72,0.82,0.75,0.1223,0.4949,0.0507,8,0.1698,0.4468,66.87
Mayur Vihar,6,0.35,0.55,0.58,0.7,0.8,0.8,0.5577,0.413,0.044,17,0.3757,0.6134,73.53
Saket,10,0.25,0.35,0.5,0.65,0.7,0.65,0.2019,0.6636,0.1369,88,0.1132,0.4547,67.19
Connaught Place,6,0.28,0.3,0.55,0.7,0.72,0.8,0.6233,0.616,0.026,38,0.1212,0.614,73.56
Gurugram Sector 29,7,0.28,0.5,0.55,0.68,0.72,0.7,0.2849,0.5347,0.0232,14,0.1213,0.4807,68.23
Janakpuri,3,0.3,0.4,0.6,0.68,0.76,0.2,0.1555,0.5703,0.1754,52,0.0811,0.2879,60.52
Vasant Kunj,12,0.22,0.3,0.48,0.65,0.68,0.75,0.538,0.82,0.0443,56,0.1549,0.7094,77.38
Gurugram Sector 29,8,0.28,0.5,0.55,0.68,0.72,0.75,0.7715,0.6332,0.047,41,0.0874,0.6412,74.65
Shahdara,4,0.4,0.65,0.6,0.72,0.85,0.25,0.1081,0.7109,0.0348,12,0.1948,0.3878,64.51
Vasant Kunj,8,0.22,0.3,0.48,0.65,0.68,0.75,0.783,0.4809,0.0273,95,0.0528,0.5158,69.63
Mayur Vihar,5,0.35,0.55,0.58,0.7,0.8,0.75,0.877,0.7534,0.0246,7,0.3585,0.7864,80.45
Janakpuri,2,0.3,0.4,0.6,0.68,0.76,0.65,0.4239,0.2816,0.1666,39,0.0235,0.4023,65.09
Connaught Place,11,0.28,0.3,0.55,0.7,0.72,0.8,0.4311,0.7258,0.0723,70,0.2195,0.5094,69.37
Lajpat Nagar,11,0.32,0.45,0.5,0.68,0.75,0.8,0.5423,0.6119,0.1374,91,0.0981,0.5859,72.44
Janakpuri,11,0.3,0.4,0.6,0.68,0.76,0.8,0.1566,0.7331,0.0718,73,0.1662,0.5048,69.19
Shahdara,5,0.4,0.65,0.6,0.72,0.85,0.75,0.6404,0.6557,0.1023,61,0.3115,0.6817,76.27
Connaught Place,4,0.28,0.3,0.55,0.7,0.72,0.25,0.2846,0.2963,0.1681,46,0.2598,0.3057,61.23
Lajpat Nagar,1,0.32,0.45,0.5,0.68,0.75,0.7,0.7727,0.6152,0.0652,85,0.5416,0.6733,75.93
Gurugram Sector 29,9,0.28,0.5,0.55,0.68,0.72,0.6,0.6087,0.4555,0.1565,49,0.0472,0.4891,68.57
Mayur Vihar,4,0.35,0.55,0.58,0.7,0.8,0.25,0.2828,0.2501,0.1018,62,0.199,0.258,59.32
Connaught Place,11,0.28,0.3,0.55,0.7,0.72,0.8,0.1432,0.8085,0.2001,45,0.1491,0.4746,67.98
Shahdara,11,0.4,0.65,0.6,0.72,0.85,0.8,0.4445,0.9314,0.0656,82,0.0787,0.6374,74.5
Connaught Place,2,0.28,0.3,0.55,0.7,0.72,0.65,0.3469,0.1144,0.0895,6,0.1861,0.3019,61.08
Gurugram Sector 29,12,0.28,0.5,0.55,0.68,0.72,0.75,0.5462,0.6069,0.0432,23,0.2109,0.6037,73.15
Karol Bagh,2,0.33,0.42,0.55,0.72,0.82,0.65,0.2902,0.1069,0.1549,88,0.0214,0.2615,59.46
Karol Bagh,6,0.33,0.42,0.55,0.72,0.82,0.8,0.717,0.7978,0.221,10,0.2571,0.6917,76.67
Noida Sector 18,6,0.3,0.45,0.58,0.7,0.74,0.8,0.5678,0.4861,0.2687,64,0.3447,0.6229,73.92
Noida Sector 18,12,0.3,0.45,0.58,0.7,0.74,0.75,0.8214,0.7861,0.172,64,0.4188,0.7956,80.82
Vasant Kunj,8,0.22,0.3,0.48,0.65,0.68,0.75,0.7726,0.4485,0.0595,15,0.2105,0.5478,70.91
Noida Sector 18,11,0.3,0.45,0.58,0.7,0.74,0.8,0.3368,0.6261,0.1539,27,0.1942,0.4676,67.71
Janakpuri,8,0.3,0.4,0.6,0.68,0.76,0.75,0.241,0.4429,0.1582,32,0.0743,0.3684,63.73
Mayur Vihar,10,0.35,0.55,0.58,0.7,0.8,0.65,0.3361,0.7111,0.1543,49,0.0982,0.5299,70.19
Noida Sector 18,11,0.3,0.45,0.58,0.7,0.74,0.8,0.2788,0.5513,0.0679,56,0.0686,0.4356,66.42
Karol Bagh,11,0.33,0.42,0.55,0.72,0.82,0.8,0.0636,0.9454,0.2652,26,0.3155,0.5748,71.99
Shahdara,5,0.4,0.65,0.6,0.72,0.85,0.75,0.3245,0.3768,0.0694,34,0.1202,0.3751,64.0
Karol Bagh,5,0.33,0.42,0.55,0.72,0.82,0.75,0.153,0.441,0.0584,67,0.1724,0.4837,68.35
Connaught Place,12,0.28,0.3,0.55,0.7,0.72,0.75,0.2809,0.805,0.0901,93,0.174,0.6619,75.48
Connaught Place,10,0.28,0.3,0.55,0.7,0.72,0.65,0.4501,0.6899,0.1894,76,0.1952,0.5245,69.98
Lajpat Nagar,12,0.32,0.45,0.5,0.68,0.75,0.75,0.6712,0.6273,0.0642,95,0.3055,0.7489,78.96
Shahdara,7,0.4,0.65,0.6,0.72,0.85,0.7,0.6531,0.3228,0.1082,53,0.4127,0.6565,75.26
Gurugram Sector 29,12,0.28,0.5,0.55,0.68,0.72,0.75,0.61,0.5376,0.1376,4,0.112,0.7375,78.5
Rohini,9,0.35,0.5,0.7,0.72,0.8,0.6,0.518,0.5027,0.0792,38,0.1164,0.5512,71.05
Lajpat Nagar,9,0.32,0.45,0.5,0.68,0.75,0.6,0.631,0.3259,0.2528,104,0.2963,0.5178,69.71
Karol Bagh,3,0.33,0.42,0.55,0.72,0.82,0.2,0.0811,0.1809,0.0435,64,0.1655,0.171,55.84
Mayur Vihar,7,0.35,0.55,0.58,0.7,0.8,0.7,0.1931,0.6034,0.0997,29,0.4844,0.5088,69.35
Noida Sector 18,9,0.3,0.45,0.58,0.7,0.74,0.6,0.6274,0.2481,0.0472,88,0.1249,0.4952,68.81
Janakpuri,10,0.3,0.4,0.6,0.68,0.76,0.65,0.0889,0.5829,0.2779,40,0.0673,0.4044,65.17
Janakpuri,12,0.3,0.4,0.6,0.68,0.76,0.75,0.5952,0.5631,0.2428,32,0.2898,0.7178,77.71
Connaught Place,4,0.28,0.3,0.55,0.7,0.72,0.25,0.272,0.5268,0.0982,1,0.112,0.3287,62.15
Rohini,4,0.35,0.5,0.7,0.72,0.8,0.25,0.267,0.4359,0.0445,14,0.213,0.2475,58.9
Karol Bagh,12,0.33,0.42,0.55,0.72,0.82,0.75,0.3778,0.8431,0.0546,46,0.1823,0.6728,75.91
Saket,12,0.25,0.35,0.5,0.65,0.7,0.75,0.3839,0.61,0.0738,60,0.2529,0.5197,69.79
Gurugram Sector 29,3,0.28,0.5,0.55,0.68,0.72,0.2,0.1501,0.4597,0.1719,19,0.0961,0.2715,59.86
Gurugram Sector 29,5,0.28,0.5,0.55,0.68,0.72,0.75,0.8556,0.6294,0.0325,46,0.195,0.6558,75.23
Dwarka,12,0.38,0.6,0.65,0.7,0.78,0.75,0.3441,0.7934,0.1635,43,0.2371,0.7092,77.37
Rohini,3,0.35,0.5,0.7,0.72,0.8,0.2,0.4284,0.6002,0.1067,57,0.1973,0.4114,65.46
Gurugram Sector 29,10,0.28,0.5,0.55,0.68,0.72,0.65,0.7545,0.6107,0.1563,94,0.2909,0.6881,76.52
Lajpat Nagar,2,0.32,0.45,0.5,0.68,0.75,0.65,0.504,0.725,0.1331,48,0.2948,0.5753,72.01
Janakpuri,3,0.3,0.4,0.6,0.68,0.76,0.2,0.1033,0.3359,0.167,74,0.3636,0.2513,59.05
Karol Bagh,10,0.33,0.42,0.55,0.72,0.82,0.65,0.2386,0.9751,0.0139,64,0.0598,0.5357,70.43
Gurugram Sector 29,8,0.28,0.5,0.55,0.68,0.72,0.75,0.4612,0.2148,0.093,87,0.0771,0.3682,63.73
Mayur Vihar,7,0.35,0.55,0.58,0.7,0.8,0.7,0.6721,0.3271,0.0339,100,0.242,0.5446,70.78
Connaught Place,11,0.28,0.3,0.55,0.7,0.72,0.8,0.5496,0.6013,0.068,83,0.4153,0.5778,72.11
Rohini,4,0.35,0.5,0.7,0.72,0.8,0.25,0.0356,0.3983,0.185,23,0.1829,0.245,58.8
Dwarka,7,0.38,0.6,0.65,0.7,0.78,0.7,0.4818,0.6281,0.1256,27,0.4577,0.6011,73.04
Dwarka,8,0.38,0.6,0.65,0.7,0.78,0.75,0.3984,0.7416,0.0697,26,0.4807,0.6282,74.13
Rohini,9,0.35,0.5,0.7,0.72,0.8,0.6,0.3136,0.7135,0.087,79,0.3966,0.5908,72.63
Vasant Kunj,4,0.22,0.3,0.48,0.65,0.68,0.25,0.4616,0.5686,0.1149,104,0.1302,0.3405,62.62
Lajpat Nagar,8,0.32,0.45,0.5,0.68,0.75,0.75,0.6144,0.5595,0.1063,6,0.3548,0.5962,72.85
Gurugram Sector 29,6,0.28,0.5,0.55,0.68,0.72,0.8,0.2996,0.3979,0.1347,102,0.1147,0.431,66.24
Noida Sector 18,7,0.3,0.45,0.58,0.7,0.74,0.7,0.612,0.5307,0.1149,67,0.0505,0.5189,69.76
Noida Sector 18,11,0.3,0.45,0.58,0.7,0.74,0.8,0.3925,0.5689,0.172,48,0.301,0.5106,69.42
Rohini,5,0.35,0.5,0.7,0.72,0.8,0.75,0.797,0.6437,0.0031,79,0.0698,0.6646,75.58
Dwarka,9,0.38,0.6,0.65,0.7,0.78,0.6,0.4883,0.3594,0.0551,51,0.0143,0.4565,67.26
Noida Sector 18,12,0.3,0.45,0.58,0.7,0.74,0.75,0.6126,0.4735,0.0691,37,0.4409,0.7572,79.29
Dwarka,10,0.38,0.6,0.65,0.7,0.78,0.65,0.1906,0.7043,0.2246,59,0.0594,0.4515,67.06
Gurugram Sector 29,12,0.28,0.5,0.55,0.68,0.72,0.75,0.7582,0.6548,0.1582,49,0.0313,0.733,78.32
Connaught Place,8,0.28,0.3,0.55,0.7,0.72,0.75,0.5241,0.3126,0.0629,58,0.4172,0.4875,68.5
Connaught Place,4,0.28,0.3,0.55,0.7,0.72,0.25,0.1946,0.6533,0.1231,86,0.3475,0.3181,61.72
Gurugram Sector 29,12,0.28,0.5,0.55,0.68,0.72,0.75,0.5768,0.4183,0.1026,76,0.2421,0.5849,72.4
Noida Sector 18,8,0.3,0.45,0.58,0.7,0.74,0.75,0.1229,0.4672,0.1187,81,0.021,0.3644,63.58
Connaught Place,3,0.28,0.3,0.55,0.7,0.72,0.2,0.2796,0.4995,0.0786,55,0.0112,0.3572,63.29
Karol Bagh,4,0.33,0.42,0.55,0.72,0.82,0.25,0.403,0.414,0.2979,103,0.0463,0.3436,62.74
Connaught Place,4,0.28,0.3,0.55,0.7,0.72,0.25,0.2931,0.3838,0.0921,77,0.2298,0.3446,62.78
Vasant Kunj,11,0.22,0.3,0.48,0.65,0.68,0.8,0.4913,0.7453,0.0877,33,0.1062,0.5306,70.23
Gurugram Sector 29,2,0.28,0.5,0.55,0.68,0.72,0.65,0.5561,0.2765,0.0425,80,0.2858,0.521,69.84
Vasant Kunj,9,0.22,0.3,0.48,0.65,0.68,0.6,0.5962,0.2846,0.0905,38,0.3819,0.4958,68.83
Vasant Kunj,7,0.22,0.3,0.48,0.65,0.68,0.7,0.5805,0.2091,0.0362,36,0.0561,0.2697,59.79
Dwarka,1,0.38,0.6,0.65,0.7,0.78,0.7,0.6385,0.473,0.2504,47,0.0479,0.5353,70.41
Mayur Vihar,8,0.35,0.55,0.58,0.7,0.8,0.75,0.5008,0.6004,0.2574,73,0.1673,0.5516,71.07
Rohini,10,0.35,0.5,0.7,0.72,0.8,0.65,0.267,0.7659,0.1399,30,0.2058,0.5084,69.34
Janakpuri,9,0.3,0.4,0.6,0.68,0.76,0.6,0.6907,0.6286,0.2102,57,0.2277,0.6077,73.31
Rohini,7,0.35,0.5,0.7,0.72,0.8,0.7,0.4284,0.6591,0.1642,87,0.2614,0.6206,73.82
Janakpuri,5,0.3,0.4,0.6,0.68,0.76,0.75,0.3709,0.2348,0.0321,100,0.2334,0.4191,65.76
Karol Bagh,2,0.33,0.42,0.55,0.72,0.82,0.65,0.4101,0.5732,0.2018,34,0.2347,0.4967,68.87
Janakpuri,1,0.3,0.4,0.6,0.68,0.76,0.7,0.3934,0.6582,0.1449,57,0.2928,0.5621,71.49
Lajpat Nagar,5,0.32,0.45,0.5,0.68,0.75,0.75,0.507,0.693,0.0482,94,0.0394,0.5797,72.19
Dwarka,8,0.38,0.6,0.65,0.7,0.78,0.75,0.2772,0.1002,0.0381,82,0.1101,0.3713,63.85
Mayur Vihar,1,0.35,0.55,0.58,0.7,0.8,0.7,0.4669,0.526,0.1003,69,0.2145,0.4878,68.51
Shahdara,12,0.4,0.65,0.6,0.72,0.85,0.75,0.8064,0.6456,0.0609,12,0.1246,0.8262,82.05
Shahdara,8,0.4,0.65,0.6,0.72,0.85,0.75,0.5747,0.5633,0.2204,85,0.0323,0.5427,70.71
Janakpuri,4,0.3,0.4,0.6,0.68,0.76,0.25,0.242,0.3005,0.0791,68,0.0434,0.1982,56.93
Dwarka,12,0.38,0.6,0.65,0.7,0.78,0.75,0.2337,0.7009,0.2451,52,0.126,0.6518,75.07
Noida Sector 18,3,0.3,0.45,0.58,0.7,0.74,0.2,0.2977,0.6018,0.2299,12,0.0156,0.3715,63.86
Noida Sector 18,12,0.3,0.45,0.58,0.7,0.74,0.75,0.1465,0.6287,0.1001,74,0.2865,0.5623,71.49
Karol Bagh,4,0.33,0.42,0.55,0.72,0.82,0.25,0.377,0.5236,0.0673,70,0.1113,0.3398,62.59
Noida Sector 18,5,0.3,0.45,0.58,0.7,0.74,0.75,0.2201,0.3491,0.0735,27,0.2051,0.393,64.72
Vasant Kunj,6,0.22,0.3,0.48,0.65,0.68,0.8,0.1995,0.2782,0.0533,34,0.2094,0.3253,62.01
Mayur Vihar,12,0.35,0.55,0.58,0.7,0.8,0.75,0.6716,0.7187,0.0354,100,0.3646,0.7783,80.13
Connaught Place,4,0.28,0.3,0.55,0.7,0.72,0.25,0.2609,0.4309,0.063,67,0.3685,0.3094,61.37
Saket,12,0.25,0.35,0.5,0.65,0.7,0.75,0.7425,0.5776,0.0098,55,0.1165,0.6465,74.86
Saket,5,0.25,0.35,0.5,0.65,0.7,0.75,0.6889,0.5894,0.0488,46,0.2526,0.6039,73.16
Connaught Place,4,0.28,0.3,0.55,0.7,0.72,0.25,0.0613,0.5459,0.0751,56,0.1959,0.2802,60.21
Rohini,8,0.35,0.5,0.7,0.72,0.8,0.75,0.503,0.6007,0.1527,86,0.0282,0.5541,71.16
Mayur Vihar,9,0.35,0.55,0.58,0.7,0.8,0.6,0.3044,0.3968,0.1502,6,0.0775,0.4313,66.25
Saket,5,0.25,0.35,0.5,0.65,0.7,0.75,0.5033,0.6001,0.008,13,0.3318,0.5767,72.07
Lajpat Nagar,2,0.32,0.45,0.5,0.68,0.75,0.65,0.4189,0.4021,0.0792,22,0.1257,0.427,66.08
Dwarka,5,0.38,0.6,0.65,0.7,0.78,0.75,0.5265,0.5508,0.0129,26,0.1399,0.54,70.6
Dwarka,7,0.38,0.6,0.65,0.7,0.78,0.7,0.8616,0.6279,0.1064,14,0.0541,0.6797,76.19
Rohini,1,0.35,0.5,0.7,0.72,0.8,0.7,0.5717,0.3063,0.0799,45,0.2233,0.5333,70.33
Lajpat Nagar,1,0.32,0.45,0.5,0.68,0.75,0.7,0.1732,0.3009,0.2598,1,0.128,0.3458,62.83
Mayur Vihar,12,0.35,0.55,0.58,0.7,0.8,0.75,0.2539,0.5677,0.1281,37,0.3792,0.6078,73.31
Mayur Vihar,1,0.35,0.55,0.58,0.7,0.8,0.7,0.2938,0.5717,0.1388,3,0.14,0.4698,67.79
Janakpuri,5,0.3,0.4,0.6,0.68,0.76,0.75,0.5208,0.7153,0.1196,10,0.0918,0.6088,73.35
Noida Sector 18,10,0.3,0.45,0.58,0.7,0.74,0.65,0.2017,0.4633,0.1296,69,0.3875,0.4576,67.3
Vasant Kunj,4,0.22,0.3,0.48,0.65,0.68,0.25,0.2378,0.4348,0.0554,45,0.4329,0.3109,61.43
Karol Bagh,6,0.33,0.42,0.55,0.72,0.82,0.8,0.7281,0.3033,0.1421,102,0.0861,0.4976,68.91
Connaught Place,2,0.28,0.3,0.55,0.7,0.72,0.65,0.3724,0.5292,0.0689,60,0.1024,0.3817,64.27
Vasant Kunj,10,0.22,0.3,0.48,0.65,0.68,0.65,0.4074,0.6552,0.0393,41,0.2156,0.5475,70.9
Connaught Place,8,0.28,0.3,0.55,0.7,0.72,0.75,0.2108,0.5259,0.1949,77,0.1366,0.4482,66.93
Connaught Place,11,0.28,0.3,0.55,0.7,0.72,0.8,0.1702,0.6484,0.175,87,0.0465,0.441,66.64
Saket,11,0.25,0.35,0.5,0.65,0.7,0.8,0.1406,0.4229,0.1628,21,0.3296,0.3642,63.57
Gurugram Sector 29,5,0.28,0.5,0.55,0.68,0.72,0.75,0.7554,0.3625,0.1113,57,0.144,0.5467,70.87
Connaught Place,1,0.28,0.3,0.55,0.7,0.72,0.7,0.5301,0.3357,0.082,30,0.0284,0.4124,65.49
Dwarka,5,0.38,0.6,0.65,0.7,0.78,0.75,0.7495,0.6212,0.2064,104,0.1872,0.655,75.2
Dwarka,2,0.38,0.6,0.65,0.7,0.78,0.65,0.7341,0.1946,0.1571,47,0.0451,0.503,69.12
Saket,7,0.25,0.35,0.5,0.65,0.7,0.7,0.5574,0.6397,0.0925,9,0.3302,0.5763,72.05
Vasant Kunj,2,0.22,0.3,0.48,0.65,0.68,0.65,0.7627,0.3992,0.1821,88,0.3379,0.5275,70.1
Dwarka,12,0.38,0.6,0.65,0.7,0.78,0.75,0.4871,0.6382,0.0354,93,0.3916,0.7486,78.94
Rohini,8,0.35,0.5,0.7,0.72,0.8,0.75,0.4629,0.4779,0.0435,40,0.3216,0.4612,67.45
Lajpat Nagar,4,0.32,0.45,0.5,0.68,0.75,0.25,0.2147,0.349,0.018,48,0.1875,0.3141,61.56
Rohini,12,0.35,0.5,0.7,0.72,0.8,0.75,0.548,0.8421,0.1121,76,0.2641,0.7587,79.35
Lajpat Nagar,10,0.32,0.45,0.5,0.68,0.75,0.65,0.2341,0.8492,0.2334,4,0.128,0.5289,70.16
Shahdara,6,0.4,0.65,0.6,0.72,0.85,0.8,0.4835,0.5044,0.177,92,0.0386,0.5432,70.73
Janakpuri,2,0.3,0.4,0.6,0.68,0.76,0.65,0.7335,0.5521,0.2058,1,0.12,0.5961,72.85
Janakpuri,5,0.3,0.4,0.6,0.68,0.76,0.75,0.8117,0.3219,0.0901,20,0.4502,0.6415,74.66
Mayur Vihar,8,0.35,0.55,0.58,0.7,0.8,0.75,0.2815,0.1817,0.064,33,0.0807,0.4017,65.07
Shahdara,10,0.4,0.65,0.6,0.72,0.85,0.65,0.1422,0.4274,0.1571,67,0.1513,0.3903,64.61
Lajpat Nagar,4,0.32,0.45,0.5,0.68,0.75,0.25,0.4915,0.3683,0.076,82,0.0591,0.3405,62.62
Saket,9,0.25,0.35,0.5,0.65,0.7,0.6,0.4407,0.3309,0.0707,19,0.2595,0.4018,65.07
Dwarka,4,0.38,0.6,0.65,0.7,0.78,0.25,0.0902,0.5315,0.0516,35,0.461,0.3888,64.55
Mayur Vihar,3,0.35,0.55,0.58,0.7,0.8,0.2,0.3001,0.2928,0.1516,84,0.1897,0.2813,60.25
Dwarka,6,0.38,0.6,0.65,0.7,0.78,0.8,0.4381,0.6649,0.1018,35,0.1648,0.576,72.04
Lajpat Nagar,2,0.32,0.45,0.5,0.68,0.75,0.65,0.2769,0.2692,0.0323,38,0.0663,0.3344,62.37
Gurugram Sector 29,5,0.28,0.5,0.55,0.68,0.72,0.75,0.5369,0.5617,0.048,44,0.0444,0.5406,70.62
Janakpuri,5,0.3,0.4,0.6,0.68,0.76,0.75,0.534,0.4891,0.0393,65,0.0112,0.5024,69.09
Lajpat Nagar,4,0.32,0.45,0.5,0.68,0.75,0.25,0.2813,0.5195,0.024,84,0.2421,0.3497,62.99
